119,4.0,19.0,1.0,14,28,19.0,33.0
120,4.0,19.0,1.0,33,14,28.0,32.0
121,4.0,19.0,1.0,16,27,25.0,18.0
122,4.0,19.0,1.0,9,25,16.0,27.0
123,4.0,19.0,1.0,22,25,23.0,18.0
124,4.0,19.0,1.0,18,23,22.0,11.0
125,4.0,19.0,1.0,19,25,22.0,18.0
126,4.0,19.0,1.0,19,20,25.0,18.0
127,4.0,19.0,1.0,25,20,16.0,18.0
128,4.0,19.0,1.0,20,8,17.0,16.0
129,4.0,19.0,1.0,20,8,16.0,18.0
130,4.0,19.0,1.0,16,24,27.0,21.0
131,4.0,19.0,1.0,29,6,23.0,12.0
132,4.0,19.0,1.0,13,28,7.0,30.0
133,4.0,19.0,1.0,20,17,31.0,26.0
134,4.0,19.0,1.0,23,22,32.0,29.0
135,4.0,19.0,1.0,28,30,19.0,33.0
136,4.0,19.0,1.0,13,31,3.0,26.0
137,4.0,19.0,1.0,24,27,12.0,2.0
138,4.0,19.0,1.0,11,21,24.0,1.0
139,4.0,19.0,1.0,8,16,21.0,1.0
140,4.0,19.0,1.0,30,4,10.0,19.0
141,4.0,19.0,1.0,22,23,5.0,11.0
142,4.0,19.0,1.0,31,17,0.0,3.0
143,4.0,19.0,1.0,3,17,9.0,26.0
144,4.0,19.0,1.0,2,27,9.0,16.0
145,4.0,19.0,1.0,16,2,24.0,1.0
146,4.0,19.0,1.0,15,7,28.0,33.0
147,4.0,19.0,1.0,32,15,6.0,29.0
148,4.0,19.0,1.0,30,7,4.0,33.0
149,4.0,19.0,1.0,5,23,32.0,6.0
150,4.0,19.0,1.0,0,10,20.0,31.0
151,4.0,19.0,1.0,24,27,2.0,16.0
152,4.0,19.0,1.0,6,23,32.0,29.0
153,4.0,19.0,1.0,31,17,3.0,26.0
154,4.0,19.0,1.0,30,28,7.0,33.0
155,4.0,19.0,1.0,21,16,24.0,1.0
156,4.0,19.0,1.0,22,32,14.0,5.0
157,4.0,19.0,1.0,0,20,8.0,17.0
158,4.0,19.0,1.0,14,19,4.0,33.0
159,4.0,19.0,1.0,32,22,23.0,5.0
160,4.0,19.0,1.0,19,30,4.0,33.0
161,4.0,19.0,1.0,17,0,20.0,31.0
